timestamps,TP9,AF7,AF8,TP10,Right AUX
1681293173.307,-119.141,-1000.000,-46.387,-94.727,0.000
1681293173.311,-118.652,-962.402,-47.363,-81.543,0.000
1681293173.315,-124.512,-776.855,-54.688,-89.844,0.000
1681293173.318,-153.320,-834.473,-56.641,-106.934,0.000
1681293173.322,-174.805,-993.164,-73.242,-117.676,0.000
1681293173.326,-154.297,-862.793,-66.406,-117.676,0.000
1681293173.330,-123.047,-875.488,-34.668,-104.492,0.000
1681293173.334,-97.168,-1000.000,-39.551,-98.633,0.000
1681293173.338,-86.426,-959.473,-47.852,-103.516,0.000
1681293173.342,-100.586,-998.535,-39.551,-89.355,0.000
1681293173.346,-89.355,-922.852,-37.109,-62.012,0.000
1681293173.350,-77.148,-857.422,-38.574,-53.711,0.000
1681293173.354,-103.027,-813.965,-53.711,-91.309,0.000
1681293173.358,-144.043,-485.352,-106.445,-152.344,0.000
1681293173.361,-166.992,-318.359,-139.160,-166.504,0.000
1681293173.365,-176.758,-627.930,-138.672,-151.855,0.000
1681293173.369,-189.941,-882.324,-142.578,-172.363,0.000
1681293173.373,-179.199,-740.723,-140.137,-182.129,0.000
1681293173.377,-151.855,-651.855,-130.371,-166.992,0.000
1681293173.381,-165.039,-759.766,-133.301,-152.344,0.000
1681293173.385,-168.945,-843.750,-125.488,-138.184,0.000
1681293173.389,-145.020,-722.656,-115.234,-128.906,0.000
1681293173.393,-130.859,-837.402,-115.723,-130.371,0.000
1681293173.397,-128.906,-941.895,-112.793,-163.574,0.000
1681293173.400,-131.836,-881.836,-109.375,-165.039,0.000
1681293173.404,-119.141,-525.391,-105.469,-150.391,0.000
1681293173.408,-110.352,-413.086,-103.027,-138.672,0.000
1681293173.412,-93.262,-730.469,-95.703,-136.719,0.000
1681293173.416,-73.242,-617.676,-89.355,-142.578,0.000
1681293173.420,-52.734,-302.734,-95.215,-135.742,0.000
1681293173.424,-61.035,-515.625,-93.750,-130.371,0.000
1681293173.428,-95.703,-614.746,-93.750,-128.906,0.000
1681293173.432,-110.352,-444.824,-99.121,-123.047,0.000
1681293173.436,-114.258,-620.117,-100.586,-128.906,0.000
1681293173.440,-115.234,-882.324,-93.750,-122.559,0.000
1681293173.443,-101.074,-910.645,-93.750,-107.910,0.000
1681293173.447,-103.516,-612.305,-90.820,-108.887,0.000
1681293173.451,-130.859,-238.281,-86.426,-120.117,0.000
1681293173.455,-139.648,-458.496,-100.098,-126.953,0.000
1681293173.459,-131.348,-875.977,-102.051,-108.887,0.000
1681293173.463,-117.188,-405.762,-93.750,-93.750,0.000
1681293173.467,-87.402,-363.770,-96.191,-83.008,0.000
1681293173.471,-98.145,-699.707,-94.238,-75.684,0.000
1681293173.475,-119.141,-432.617,-92.773,-105.469,0.000
1681293173.479,-106.445,-291.504,-99.609,-108.398,0.000
1681293173.483,-92.773,-499.023,-102.051,-98.633,0.000
1681293173.486,-83.008,-856.934,-104.980,-117.676,0.000
1681293173.490,-99.121,-774.902,-107.422,-118.652,0.000
1681293173.494,-99.121,-199.219,-115.723,-107.910,0.000
1681293173.498,-104.492,-321.289,-117.188,-97.168,0.000
1681293173.502,-107.910,-545.410,-113.770,-95.703,0.000
1681293173.506,-77.637,-284.180,-114.258,-89.844,0.000
1681293173.510,-79.590,-88.379,-112.793,-87.402,0.000
1681293173.514,-77.148,-286.621,-114.746,-77.148,0.000
1681293173.518,-65.918,-538.086,-117.188,-78.125,0.000
1681293173.522,-58.594,-312.012,-122.559,-75.195,0.000
1681293173.526,-58.594,-240.234,-129.883,-48.340,0.000
1681293173.529,-53.223,-696.777,-113.281,-35.156,0.000
1681293173.533,-41.016,-871.582,-112.305,-54.688,0.000
1681293173.537,-71.289,-562.500,-123.047,-53.711,0.000
1681293173.541,-86.914,-411.133,-110.840,-59.570,0.000
1681293173.545,-55.664,-660.645,-115.723,-116.699,0.000
1681293173.549,-65.918,-964.844,-117.676,-120.117,0.000
1681293173.553,-75.195,-846.191,-108.398,-87.402,0.000
1681293173.557,-58.105,-808.105,-108.398,-68.359,0.000
1681293173.561,-64.941,-940.918,-108.887,-67.871,0.000
1681293173.565,-28.809,-850.098,-112.305,-55.176,0.000
1681293173.568,-7.812,-626.465,-120.117,-15.625,0.000
1681293173.572,-1.953,-648.926,-115.723,2.930,0.000
1681293173.576,-3.906,-872.559,-116.699,-24.902,0.000
1681293173.580,-14.648,-988.770,-112.305,-4.395,0.000
1681293173.584,6.836,-800.293,-109.863,34.668,0.000
1681293173.588,35.645,-798.828,-118.652,34.668,0.000
1681293173.592,16.113,-993.652,-120.117,12.695,0.000
1681293173.596,-4.395,-953.613,-118.164,-10.742,0.000
1681293173.600,22.949,-773.438,-109.863,16.113,0.000
1681293173.604,19.531,-813.965,-101.562,38.574,0.000
1681293173.608,-23.926,-973.145,-95.703,19.531,0.000
1681293173.611,-21.973,-1000.000,-93.262,37.109,0.000
1681293173.615,23.926,-780.273,-88.379,48.340,0.000
1681293173.619,15.625,-763.184,-80.078,11.719,0.000
1681293173.623,0.000,-1000.000,-74.219,-4.395,0.000
1681293173.627,4.883,-978.516,-68.848,-9.766,0.000
1681293173.631,-22.461,-711.426,-64.453,-14.160,0.000
1681293173.635,-34.180,-777.344,-68.848,-14.648,0.000
1681293173.639,-14.160,-981.445,-60.059,-4.883,0.000
1681293173.643,-20.996,-768.555,-43.945,-9.277,0.000
1681293173.647,-21.973,-612.305,-34.668,-7.324,0.000
1681293173.651,-22.949,-760.254,-26.367,16.602,0.000
1681293173.654,-45.410,-1000.000,-22.949,0.488,0.000
1681293173.658,-50.293,-902.832,-25.391,-29.785,0.000
1681293173.662,-40.039,-695.312,-27.832,-21.973,0.000
1681293173.666,-43.945,-861.816,-30.273,-8.301,0.000
1681293173.670,-63.477,-1000.000,-26.855,-9.766,0.000
1681293173.674,-36.621,-953.613,-19.531,-19.043,0.000
1681293173.678,-6.836,-733.398,-19.043,-37.109,0.000
1681293173.682,-40.039,-896.973,-28.809,-31.250,0.000
1681293173.686,-43.945,-947.754,-34.668,-19.531,0.000
1681293173.690,-22.461,-648.926,-26.855,-21.973,0.000
1681293173.693,-40.527,-720.703,-22.949,-39.551,0.000
1681293173.697,-41.992,-934.082,-6.348,-61.523,0.000
1681293173.701,-57.617,-900.391,-0.977,-59.570,0.000
1681293173.705,-74.707,-752.930,-18.555,-41.016,0.000
1681293173.709,-62.988,-813.965,-22.461,-34.668,0.000
1681293173.713,-33.691,-990.234,-23.438,-28.320,0.000
1681293173.717,-23.926,-997.070,-25.391,-14.648,0.000
1681293173.721,-35.645,-993.652,-22.949,-8.301,0.000
1681293173.725,-50.293,-1000.000,-35.645,-1.465,0.000
1681293173.729,-60.059,-994.629,-35.156,-13.184,0.000
1681293173.733,-43.457,-841.797,-27.832,-19.043,0.000
1681293173.736,-55.664,-771.973,-43.457,-34.668,0.000
1681293173.740,-78.125,-948.730,-36.133,-49.805,0.000
1681293173.744,-74.219,-926.270,-25.391,-48.828,0.000
1681293173.748,-56.152,-910.156,-25.879,-54.688,0.000
1681293173.752,-45.410,-965.332,-26.855,-56.641,0.000
1681293173.756,-57.617,-909.180,-23.926,-63.965,0.000
1681293173.760,-69.824,-927.734,-20.508,-71.289,0.000
1681293173.764,-81.055,-984.863,-23.438,-59.082,0.000
1681293173.768,-82.520,-1000.000,-23.438,-37.598,0.000
1681293173.772,-62.988,-993.164,-30.273,-30.762,0.000
1681293173.776,-80.078,-986.816,-33.691,-28.809,0.000
1681293173.779,-97.656,-962.402,-32.715,-51.270,0.000
1681293173.783,-101.074,-913.574,-41.016,-67.871,0.000
1681293173.787,-90.820,-908.203,-32.715,-44.434,0.000
1681293173.791,-59.570,-830.566,-22.461,-25.391,0.000
1681293173.795,-74.219,-801.270,-32.227,-5.859,0.000
1681293173.799,-80.566,-888.184,-38.086,-7.812,0.000
1681293173.803,-66.895,-994.141,-29.785,-39.062,0.000
1681293173.807,-80.566,-991.699,-23.438,-58.594,0.000
1681293173.811,-96.191,-994.141,-25.391,-69.824,0.000
1681293173.815,-91.797,-1000.000,-22.949,-47.363,0.000
1681293173.818,-89.844,-999.512,-24.414,-45.410,0.000
1681293173.822,-85.449,-943.848,-29.297,-58.105,0.000
1681293173.826,-63.965,-814.453,-32.715,-74.219,0.000
1681293173.830,-18.066,-887.695,-34.668,-58.594,0.000
1681293173.834,-55.664,-1000.000,-30.762,-36.621,0.000
1681293173.838,-140.137,-907.227,-19.043,-57.617,0.000
1681293173.842,-130.859,-955.566,-23.926,-76.660,0.000
1681293173.846,-122.559,-1000.000,-25.879,-83.008,0.000
1681293173.850,-101.074,-863.770,-22.949,-70.312,0.000
1681293173.854,-81.055,-749.512,-39.062,-65.430,0.000
1681293173.858,-104.004,-939.941,-44.434,-76.660,0.000
1681293173.861,-111.816,-1000.000,-32.715,-77.637,0.000
1681293173.865,-94.238,-865.723,-36.133,-90.820,0.000
1681293173.869,-99.121,-770.020,-31.738,-67.871,0.000
1681293173.873,-124.023,-770.020,-28.320,-76.660,0.000
1681293173.877,-127.441,-953.125,-41.504,-92.285,0.000
1681293173.881,-143.066,-973.633,-37.598,-62.012,0.000
1681293173.885,-123.535,-855.957,-38.086,-46.875,0.000
1681293173.889,-88.379,-954.102,-48.340,-60.059,0.000
1681293173.893,-113.770,-976.562,-33.691,-73.242,0.000
1681293173.897,-117.188,-825.684,-21.973,-60.547,0.000
1681293173.901,-135.742,-830.566,-38.086,-42.969,0.000
1681293173.904,-125.488,-977.051,-51.758,-68.848,0.000
1681293173.908,-83.008,-999.023,-44.922,-83.496,0.000
1681293173.912,-85.449,-835.938,-32.715,-74.219,0.000
1681293173.916,-65.918,-762.207,-33.203,-82.520,0.000
1681293173.920,-59.570,-910.645,-31.738,-58.105,0.000
1681293173.924,-42.969,-998.535,-20.508,-28.320,0.000
1681293173.928,-50.781,-906.250,-11.230,-29.785,0.000
1681293173.932,-128.906,-898.438,-13.184,-79.102,0.000
1681293173.936,-172.363,-985.352,-11.230,-93.262,0.000
1681293173.940,-166.016,-1000.000,-6.836,-104.004,0.000
1681293173.943,-159.180,-997.070,-18.066,-139.160,0.000
1681293173.947,-158.203,-998.535,-18.066,-127.441,0.000
1681293173.951,-181.152,-1000.000,1.953,-126.953,0.000
1681293173.955,-186.035,-978.027,1.465,-144.043,0.000
1681293173.959,-172.363,-944.336,-2.441,-141.602,0.000
1681293173.963,-197.266,-978.516,-4.883,-125.000,0.000
1681293173.967,-225.586,-994.141,-6.348,-143.066,0.000
