timestamps,TP9,AF7,AF8,TP10,Right AUX
1681290750.654,-18.555,-36.133,112.793,-22.949,0.000
1681290750.658,-25.879,-34.180,99.609,-22.949,0.000
1681290750.662,-30.273,-32.227,96.191,-27.832,0.000
1681290750.666,-41.992,-31.250,97.656,-31.250,0.000
1681290750.669,-38.086,-35.645,90.820,-24.902,0.000
1681290750.673,-32.227,-36.621,83.984,-17.578,0.000
1681290750.677,-30.273,-29.785,81.055,-20.508,0.000
1681290750.681,-18.555,-28.809,79.102,-29.785,0.000
1681290750.685,-24.414,-30.762,74.219,-31.250,0.000
1681290750.689,-27.344,-31.250,68.848,-21.973,0.000
1681290750.693,-21.484,-25.391,63.965,-16.602,0.000
1681290750.697,-20.996,-20.996,62.012,-17.578,0.000
1681290750.701,-30.273,-27.344,56.641,-35.156,0.000
1681290750.705,-35.156,-35.156,44.434,-43.457,0.000
1681290750.708,-29.297,-28.809,38.574,-24.902,0.000
1681290750.712,-17.578,-28.809,33.691,-15.137,0.000
1681290750.716,-16.113,-35.156,27.344,-16.113,0.000
1681290750.720,-31.250,-30.762,26.855,-21.973,0.000
1681290750.724,-38.086,-31.250,28.320,-23.926,0.000
1681290750.728,-21.973,-32.227,26.855,-14.160,0.000
1681290750.732,-12.695,-26.855,24.902,0.977,0.000
1681290750.736,-15.137,-25.879,27.344,-1.465,0.000
1681290750.740,-33.691,-29.785,27.344,-17.090,0.000
1681290750.744,-36.621,-29.297,25.391,-23.438,0.000
1681290750.748,-18.555,-24.902,24.902,-20.508,0.000
1681290750.751,-20.508,-27.344,28.320,-20.996,0.000
1681290750.755,-12.207,-45.898,34.668,-6.348,0.000
1681290750.759,7.812,-45.898,36.133,19.531,0.000
1681290750.763,-2.930,-13.672,28.320,-2.441,0.000
1681290750.767,-34.180,-7.324,20.020,-41.016,0.000
1681290750.771,-27.832,-10.742,14.160,-36.621,0.000
1681290750.775,-26.855,-4.883,1.953,-32.715,0.000
1681290750.779,-42.969,-7.324,-7.324,-55.664,0.000
1681290750.783,-57.617,-7.324,-11.230,-70.801,0.000
1681290750.787,-62.500,3.418,-11.719,-75.684,0.000
1681290750.791,-57.129,10.742,-14.160,-73.730,0.000
1681290750.794,-72.754,14.648,-21.484,-94.727,0.000
1681290750.798,-94.238,14.160,-30.762,-123.047,0.000
1681290750.802,-96.680,17.090,-28.809,-121.582,0.000
1681290750.806,-111.328,19.043,-38.086,-135.742,0.000
1681290750.810,-110.352,24.414,-52.734,-140.625,0.000
1681290750.814,-100.586,34.668,-56.152,-141.602,0.000
1681290750.818,-113.281,27.344,-54.199,-150.879,0.000
1681290750.822,-119.629,26.855,-48.828,-158.203,0.000
1681290750.826,-132.812,37.109,-53.711,-177.734,0.000
1681290750.830,-136.719,32.227,-52.246,-183.105,0.000
1681290750.833,-128.418,24.414,-53.711,-167.480,0.000
1681290750.837,-128.906,30.762,-56.152,-165.527,0.000
1681290750.841,-120.605,32.715,-49.316,-172.852,0.000
1681290750.845,-118.164,27.832,-47.852,-167.969,0.000
1681290750.849,-117.188,23.926,-52.734,-151.367,0.000
1681290750.853,-99.609,16.602,-60.547,-135.254,0.000
1681290750.857,-93.750,15.625,-55.664,-129.395,0.000
1681290750.861,-88.379,12.207,-47.363,-116.211,0.000
1681290750.865,-74.707,11.719,-46.387,-105.957,0.000
1681290750.869,-71.289,5.859,-46.387,-99.609,0.000
1681290750.873,-55.664,-3.418,-50.781,-74.707,0.000
1681290750.876,-52.246,-6.836,-56.152,-72.266,0.000
1681290750.880,-54.688,-10.254,-57.129,-74.707,0.000
1681290750.884,-41.504,-9.766,-50.781,-62.500,0.000
1681290750.888,-24.414,-15.625,-51.270,-50.781,0.000
1681290750.892,-6.348,-17.090,-50.293,-30.762,0.000
1681290750.896,-3.906,-18.066,-41.992,-19.531,0.000
1681290750.900,-1.953,-22.461,-37.109,-25.879,0.000
1681290750.904,4.883,-27.344,-36.621,-24.902,0.000
1681290750.908,9.277,-32.227,-36.133,-10.742,0.000
1681290750.912,9.277,-34.180,-39.062,-5.371,0.000
1681290750.916,3.906,-37.109,-40.039,-2.441,0.000
1681290750.919,9.766,-41.016,-37.598,-6.836,0.000
1681290750.923,16.113,-45.410,-31.738,-6.836,0.000
1681290750.927,14.648,-45.410,-24.414,6.836,0.000
1681290750.931,19.043,-41.504,-16.113,18.066,0.000
1681290750.935,17.578,-39.551,-13.184,19.043,0.000
1681290750.939,6.348,-41.504,-18.555,10.742,0.000
1681290750.943,3.418,-49.805,-22.461,6.348,0.000
1681290750.947,7.812,-57.129,-26.367,7.812,0.000
1681290750.951,16.113,-47.852,-28.320,19.043,0.000
1681290750.955,17.090,-49.805,-28.320,22.461,0.000
1681290750.958,14.160,-52.734,-30.762,17.090,0.000
1681290750.962,12.695,-48.340,-33.691,12.207,0.000
1681290750.966,9.277,-46.387,-33.691,10.254,0.000
1681290750.970,10.254,-47.852,-32.715,14.160,0.000
1681290750.974,12.207,-50.293,-40.527,16.602,0.000
1681290750.978,12.207,-48.340,-44.434,13.672,0.000
1681290750.982,3.906,-46.875,-39.062,4.395,0.000
1681290750.986,-5.371,-53.711,-39.551,-3.906,0.000
1681290750.990,-3.906,-56.641,-38.574,2.930,0.000
1681290750.994,-3.418,-51.270,-31.738,0.488,0.000
1681290750.998,-10.742,-54.199,-30.273,-15.137,0.000
1681290751.001,-1.953,-52.246,-27.344,0.977,0.000
1681290751.005,6.348,-52.734,-29.297,12.695,0.000
1681290751.009,-9.277,-52.734,-30.762,10.254,0.000
1681290751.013,-11.719,-50.781,-24.414,1.465,0.000
1681290751.017,-6.836,-53.711,-28.320,-12.207,0.000
1681290751.021,-4.395,-49.316,-26.367,0.977,0.000
1681290751.025,0.000,-46.875,-19.531,14.160,0.000
1681290751.029,1.953,-43.457,-24.902,5.859,0.000
1681290751.033,-2.930,-38.086,-27.832,-6.348,0.000
1681290751.037,-6.836,-46.387,-27.832,-7.324,0.000
1681290751.041,0.000,-48.828,-29.785,3.418,0.000
1681290751.044,-0.977,-42.480,-29.785,6.348,0.000
1681290751.048,-8.301,-45.898,-25.391,-4.883,0.000
1681290751.052,-10.254,-46.875,-24.902,-6.348,0.000
1681290751.056,-10.742,-43.945,-26.855,0.977,0.000
1681290751.060,-14.160,-39.062,-25.391,1.465,0.000
1681290751.064,-18.066,-41.016,-21.484,4.395,0.000
1681290751.068,-11.719,-43.945,-22.461,-4.395,0.000
1681290751.072,-13.184,-41.504,-27.832,-14.648,0.000
1681290751.076,-18.555,-42.969,-29.297,-15.137,0.000
1681290751.080,-25.879,-48.828,-34.668,-10.742,0.000
1681290751.084,-25.879,-48.340,-33.691,-10.742,0.000
1681290751.087,-20.508,-52.734,-32.227,-11.230,0.000
1681290751.091,-20.020,-52.246,-33.691,-13.672,0.000
1681290751.095,-18.555,-47.852,-27.344,-16.602,0.000
1681290751.099,-9.766,-48.340,-20.508,-4.883,0.000
1681290751.103,-15.625,-47.363,-21.973,-3.418,0.000
1681290751.107,-28.809,-50.781,-21.484,-10.742,0.000
1681290751.111,-33.691,-48.340,-21.484,-20.508,0.000
1681290751.115,-31.738,-45.410,-27.832,-22.461,0.000
1681290751.119,-21.973,-42.969,-21.973,-16.602,0.000
1681290751.123,-22.461,-39.062,-20.508,-14.160,0.000
1681290751.126,-25.391,-43.457,-23.438,-14.160,0.000
1681290751.130,-37.598,-47.363,-23.438,-19.531,0.000
1681290751.134,-27.832,-43.457,-21.973,-20.996,0.000
1681290751.138,-24.902,-43.945,-26.367,-21.973,0.000
1681290751.142,-34.180,-44.922,-29.785,-19.531,0.000
1681290751.146,-25.879,-39.551,-25.391,-15.625,0.000
1681290751.150,-22.461,-37.598,-30.762,-20.020,0.000
1681290751.154,-29.785,-42.969,-33.691,-26.367,0.000
1681290751.158,-25.879,-42.969,-29.785,-18.066,0.000
1681290751.162,-21.973,-36.621,-25.879,-11.719,0.000
1681290751.166,-24.902,-38.086,-29.785,-12.207,0.000
1681290751.169,-20.508,-41.504,-27.344,-12.695,0.000
1681290751.173,-16.602,-42.480,-27.832,-21.484,0.000
1681290751.177,-14.648,-42.969,-31.250,-23.438,0.000
